Committee ID,Candidate/Committee Name,Office,Party,IE For,IE Against,Total IE,Transaction Count
100605,Kari Lake for Arizona,Governor,Republican,2492870.15,8443590.54,10936460.69,194
-445,Elect Katie Hobbs,Governor,Democratic,2091860.37,6565407.6,8657267.97,277
201800057,Elect Katie Hobbs,Secretary of State,Democratic,3328071.91,3547648.73,6875720.64,253
-787,Karrin for Arizona,Governor,Republican,2540897.09,1454200.0,3995097.09,50
100566,Mark Finchem for Secretary of State,Secretary of State,Republican,37664.56,3670413.5,3708078.06,119
100811,Abraham Hamadeh for Attorney General,Attorney General,Republican,970057.14,1385781.07,2355838.21,50
100126,Friends of Reginald Bolding,Secretary of State,Democratic,2128473.71,0.0,2128473.71,48
-830,Kris Mayes for Arizona,Attorney General,Democratic,122260.83,1862144.7,1984405.53,58
-493,Fontes for AZ,Secretary of State,Democratic,769742.26,566940.39,1336682.65,119
-388,Dawn Grove for Arizona,Attorney General,Republican,1276624.0,0.0,1276624.0,1
100098,Nancy Barto for State Senate 2022,State Senator - District No. 15,Republican,208288.27,524708.9,732997.17,106
100213,Kennedy for Corporation Commissioner 2022,Corporation Commissioner,Democratic,660319.3,5000.0,665319.3,19
-77,Arizonans for Matt Gress,State Representative - District No. 4,Republican,457711.64,80534.33,538245.97,71
-680,JULIE GUNNIGLE FOR MARICOPA COUNTY ATTORNEY,,,0.0,520098.93,520098.93,5
100653,Lauren Kuby for Corporation Commission,Corporation Commissioner,Democratic,458521.27,30313.55,488834.82,23
-277,Chris4Arizona,Corporation Commissioner,Democratic,346340.42,131173.67,477514.09,135
100066,Bowers for Arizona,State Senator - District No. 10,Republican,284417.72,167103.07,451520.79,70
201600193,Vote Mesnard,State Senator - District No. 13,Republican,196250.03,146870.02,343120.05,84
201800139,Jennifer Pawlik for AZ House,State Representative - District 13,Democratic,274186.19,61705.08,335891.27,63
201800262,Osborne For Arizona Senate,State Senator - District No. 29,Republican,258872.99,64016.14,322889.13,55
-384,David Cook,State Representative - District No. 8,Republican,246736.79,69945.82,316682.61,35
101068,Cindy for AZ,State Senator - District No. 13,Republican,186263.78,126960.49,313224.27,44
-469,Eva for Arizona,State Representative - District No. 28,Democratic,164197.62,133833.77,298031.39,61
100153,Steve Kaiser for Arizona,State Representative - District 15,Republican,196087.92,94149.41,290237.33,54
-454,Elect Scantlebury,State Senator - District No. 9,Republican,173836.4,114806.55,288642.95,54
-750,Justice James P. Beene,,,0.0,260168.37,260168.37,3
-739,Judy for AZ,State Representative - District No. 20,Democratic,170945.3,85518.55,256463.85,70
