id,donor_id,committee_id,amount,date,raw,is_fake
1,1458,365,6696.82,2023-11-07,{},True
2,414,87,14509.19,2024-12-18,{},True
3,87,130,12049.54,2025-04-28,{},True
4,126,205,11991.97,2024-03-09,{},True
5,132,294,5296.67,2025-08-14,{},True
6,77,424,21507.82,2025-04-25,{},True
7,1155,241,41914.49,2024-11-14,{},True
8,207,379,42394.81,2024-05-08,{},True
9,782,389,12146.88,2024-01-06,{},True
10,1212,41,38100.62,2025-05-07,{},True
11,1633,412,4590.99,2025-04-20,{},True
12,617,368,7391.9,2023-10-21,{},True
13,102,500,41825.08,2025-05-25,{},True
14,1122,204,5485.1,2025-05-12,{},True
15,1671,74,10854.08,2024-03-14,{},True
16,1135,211,33982.33,2025-04-03,{},True
17,1877,498,38024.71,2023-12-13,{},True
18,553,2,35802.82,2025-03-18,{},True
19,270,326,14413.86,2025-07-10,{},True
20,676,153,6861.42,2025-06-10,{},True
21,536,378,29751.29,2024-08-25,{},True
22,350,148,12030.91,2024-04-01,{},True
23,305,119,34582.76,2024-09-24,{},True
24,1586,360,2833.5,2024-11-16,{},True
25,56,50,9574.54,2024-01-30,{},True
26,917,270,46915.35,2025-04-02,{},True
27,351,279,32981.74,2024-10-20,{},True
28,330,136,33131.53,2024-12-28,{},True
29,682,32,32052.65,2025-10-03,{},True
30,1713,251,28380.36,2025-02-08,{},True
31,1463,478,11705.09,2024-01-14,{},True
32,472,389,8131.87,2024-01-16,{},True
33,661,499,19062.59,2024-06-29,{},True
34,1303,482,24260.46,2023-12-08,{},True
35,842,95,29439.74,2025-04-30,{},True
36,1832,378,34831.83,2024-01-15,{},True
37,563,209,36775.87,2025-05-29,{},True
38,1639,193,14329.54,2024-01-08,{},True
39,1843,394,26890.92,2025-07-27,{},True
40,1980,460,43028.18,2025-06-23,{},True
41,1779,233,22945.68,2024-11-11,{},True
42,1913,186,10815.77,2025-07-25,{},True
43,142,464,13789.8,2024-08-10,{},True
44,1131,97,63.33,2024-09-02,{},True
45,953,21,29890.87,2025-10-18,{},True
46,804,126,44811.34,2025-01-01,{},True
47,487,193,2784.76,2025-07-05,{},True
48,994,486,9425.04,2024-05-16,{},True
49,250,370,48482.15,2025-02-07,{},True
50,867,241,41983.74,2024-10-10,{},True
51,336,216,3489.56,2025-09-09,{},True
52,1528,478,45711.78,2025-03-24,{},True
53,406,220,9391.6,2025-09-01,{},True
