id,ie_committee_id,amount,date,race_id,candidate_name,purpose,raw,created_at,is_fake
1,262,24683.52,2024-01-07,60,Ronald Robertson,Despite these action last very what minute.,{},2024-09-07 04:03:19,True
2,74,39518.04,2024-03-27,72,Karen Obrien,Detail TV issue office family once worry.,{},2023-12-10 15:07:05,True
3,368,46190.56,2025-04-23,91,Jose Wade,Believe rise growth age pass.,{},2025-06-23 07:31:55,True
4,250,58959.45,2025-06-21,31,Patrick Smith,Student sure budget cost hold item author write.,{},2025-01-17 03:02:20,True
5,376,51069.03,2024-11-10,86,Devin Ortiz,Different hundred space.,{},2024-07-24 21:06:05,True
6,270,56982.62,2025-06-28,35,Perry Page,Care everything nor all.,{},2023-11-01 12:54:05,True
7,441,59491.87,2025-01-15,22,Nathan Franco,Sure house group.,{},2024-02-10 18:43:07,True
8,438,52704.11,2024-01-05,56,Ricky Clark,Still road prove before indeed until use.,{},2025-04-25 21:50:37,True
9,227,16657.59,2024-12-14,63,Shane Carney,Involve herself firm certainly way need senior president.,{},2024-10-11 17:18:23,True
10,246,25785.38,2025-06-11,69,Jennifer Schneider,Professor lot cause onto bill instead music region.,{},2024-10-28 08:01:59,True
11,197,91940.42,2024-01-29,11,Mary Pratt,Television chair today face catch.,{},2024-01-26 12:36:03,True
12,27,29526.95,2025-04-28,57,Steven Jackson,Product will today hold.,{},2023-12-01 22:52:27,True
13,195,70525.48,2024-01-07,22,Christina Smith,House loss ten American institution buy.,{},2023-11-27 22:13:30,True
14,306,37777.74,2025-05-16,80,Amber French,True finally middle report mouth guess suffer support.,{},2025-08-09 18:38:24,True
15,491,79458.31,2024-01-03,41,Michelle Paul,Type of their.,{},2025-04-09 23:06:05,True
16,94,83501.57,2025-05-01,37,Joshua Morton,Eight plan goal explain determine.,{},2024-05-25 23:04:00,True
17,52,74391.21,2025-07-16,63,Ian Diaz,Sure edge measure dream reflect explain focus.,{},2024-01-28 12:54:22,True
18,113,7523.43,2025-08-28,66,Jesse Lee,Fly enter price state determine subject color material.,{},2023-12-14 14:38:27,True
19,26,14158.48,2025-05-25,37,Teresa Greene,Over life meet.,{},2024-08-29 03:20:45,True
20,11,26460.86,2024-12-21,91,Eric Jennings,Arrive establish though.,{},2025-02-28 08:17:22,True
21,459,894.35,2024-07-11,14,Jacob Melendez,Visit energy series food together.,{},2023-11-28 18:25:57,True
22,291,6999.22,2024-01-27,77,Shelly Rowe DDS,Statement also thing TV team imagine car.,{},2023-11-01 22:34:37,True
23,398,80466.93,2023-11-22,32,Gina Alvarez,Number clearly source into.,{},2025-09-12 04:18:23,True
24,403,68878.79,2025-01-07,59,Jennifer Edwards,Around class someone large painting environmental.,{},2025-08-12 08:25:51,True
25,29,98839.01,2025-04-05,24,Ashley Zimmerman,Thought nor nothing good in.,{},2025-01-17 04:52:05,True
26,217,36504.86,2025-01-20,68,Dale Woods,No event adult program.,{},2024-09-01 18:00:59,True
